 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE     
 0362     73      0    0   0        0111110 1111                              
 0363     7C      F    0   0        0111110 1111                              
 0364     7B      F    0   0        0111110 1111                              
 0365     7A      F    0   0        0111110 1111                              
 0366     79      F    0   0        0111110 1111                              
 0367     78      F    0   0        0111110 1111                              
 0368     77      F    0   0        0111110 1111                              
 0369     76      F    0   0        0111110 1111                              
 0370     75      0    0   0        0111110 1111                              
 0371     74      4    0   0        0111110 1111                              
 0372     73      1    0   0        0111110 1111                              
 0373     7C      0    0   0        0111110 1111                              
 0374     7B      0    0   0        0111110 1111                              
 0375     7A      0    0   0        0111110 1111                              
 0376     79      0    0   0        0111110 1111                              
 0377     78      0    0   0        0111110 1111                              
 0378     77      0    0   0        0111110 1111                              
 0379     76      0    0   0        0111110 1111                              
 0380     75      4    0   0        1111110 1111                              
 0381     74      4    0   0        1111110 1111                              
 0382     73      5    0   0        1111110 1111                              
 0383     7C      F    1   0        1111101 1111                              
 0384     7B      F    1   0        1111101 1111                              
 0385     7A      F    1   0        1111101 1111                              
 0386     79      F    1   0        1111101 1111                              
 0387     78      F    1   0        1111101 1111                              
 0388     77      F    1   0        1111101 1111                              
 0389     76      F    1   0        1111101 1111                              
 0390     75      0    1   0        1111101 1111                              
 0391     74      4    1   0        1111101 1111                              
 0392     73      1    1   0        1111101 1111                              
 0393     7E      0    1   0        0111101 1111                              
 0394     7D      0    1   0        0111101 1111                              
 0395     7C      0    1   0        0111101 1111                              
 0396     7B      0    1   0        0111101 1111                              
 0397     7A      0    1   0        0111101 1111                              
 0398     79      8    1   0        0111101 1111                              
 0399     78      0    1   0        0111101 1111                              
 0400     77      0    1   0        0111101 1111                              
 0401     76      0    1   0        0111101 1111                              
 0402     75      4    1   0        0111101 1111                              
 0403     74      4    1   0        0111101 1111                              
 0404     73      5    1   0        0111101 1111                              
 0405     7C      F    0   0        1111110 1111                              
 0406     7B      F    0   0        1111110 1111                              
 0407     7A      F    0   0        1111110 1111                              
 0408     79      F    0   0        1111110 1111                              
 0409     78      F    0   0        1111110 1111                              
 0410     77      F    0   0        1111110 1111                              
 0411     76      F    0   0        1111110 1111                              
 0412     75      F    0   0        1111110 1111                              
 0413     74      F    0   0        1111110 1111                              
 0414     73      F    0   0        1111110 1111                              
 0415     7E      0    0   0        1111110 1111                              
 0416     7D      0    0   0        1111110 1111                              
 0417     7C      0    0   0        1111110 1111                              
 0418     7B      0    0   0        1111110 1111                              
 0419     7A      0    0   0        1111110 1111                              
 0420     79      0    0   0        1111110 1111                              
 0421     78      0    0   0        1111110 1111                              
 0422     77      0    0   0        1111110 1111                              
 0423     76      0    0   0        1111110 1111                              
 0424     75      8    0   0        1111110 1111                              
 0425     74      0    0   0        1111110 1111                              
 0426     73      0    0   0        0111110 1111                              
 0427     7C      F    0   0        1111110 1111                              
 0428     7B      F    0   0        1111110 1111                              
 0429     7A      F    0   0        1111110 1111                              
 0430     79      F    0   0        1111110 1111                              
 0431     78      F    0   0        1111110 1111                              
