 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE      
 1069     0B      F    1   1        11111111 1111                             
 1071     0C      F    1   1        11111111 1111                             
 1073     09      0    1   1        11111111 1111                             
 1075     0A      0    1   1        11111111 1111                             
 1077     0B      4    1   1        11111111 1111                             
 1079     01      0    1   1        11111111 1111                             
 1081     02      0    1   1        11111111 1111                             
 1083     03      0    1   1        11111111 1111                             
 1085     04      0    1   1        11111111 1111                             
 1087     05      0    1   1        11111111 1111                             
 1089     06      0    1   1        11111111 1111                             
 1091     07      0    1   1        11111111 1111                             
 1093     08      0    1   1        11111111 1111                             
 1095     09      0    1   1        11111111 1111                             
 1097     0A      8    1   1        11111111 1111                             
 1099     0B      0    1   1        11111111 1111                             
 1101     0C      0    1   1        11111111 1111                             
 1103     03      D    1   1        11111111 1111                             
 1105     04      0    1   1        11111111 1111                             
 1107     05      8    1   1        11111111 1111                             
 1109     03      C    1   1        11111111 1111                             
 1111     03      0    1   1        11111111 1111                             
 1113     04      0    1   1        11111111 1111                             
 1115     05      0    1   1        11111111 1111                             
 1117     06      0    1   1        11111111 1111                             
 1119     07      0    1   1        11111111 1111                             
 1121     08      0    1   1        11111111 1111                             
 1123     09      0    1   1        11111111 1111                             
 1125     0A      4    1   1        11111111 1111                             
 1127     0B      4    1   1        11111111 1111                             
 1129     0C      5    1   1        11111111 1111                             
 1131     03      D    1   1        11111111 1111                             
 1133     03      F    1   1        11111111 1111                             
 1135     04      F    1   1        11111111 1111                             
 1137     05      F    1   1        11111111 1111                             
 1139     06      F    1   1        11111111 1111                             
 1141     07      F    1   1        11111111 1111                             
 1143     08      F    1   1        11111111 1111                             
 1145     09      F    1   1        11111111 1111                             
 1147     0A      0    1   1        11111111 1111                             
 1149     0B      4    1   1        11111111 1111                             
 1151     0C      1    1   1        11111111 1111                             
 1153     03      F    1   1        11111111 1111                             
 1155     04      F    1   1        11111111 1111                             
 1157     05      F    1   1        11111111 1111                             
 1159     06      F    1   1        11111111 1111                             
 1161     07      F    1   1        11111111 1111                             
 1163     08      F    1   1        11111111 1111                             
 1165     09      3    1   1        11111111 1111                             
 1167     0A      0    1   1        11111111 1111                             
 1169     0B      4    1   1        11111111 1111                             
 1171     0C      1    1   1        11111111 1111                             
 1173     03      C    1   1        11111111 1111                             
 1175     03      0    1   1        11111111 1111                             
 1177     04      0    1   1        11111111 1111                             
 1179     05      0    1   1        11111111 1111                             
 1181     06      0    1   1        11111111 1111                             
 1183     07      0    1   1        11111111 1111                             
 1185     08      0    1   1        11111111 1111                             
 1187     09      4    1   1        11111111 1111                             
 1189     0A      4    1   1        11111111 1111                             
 1191     0B      4    1   1        11111111 1111                             
 1193     0C      5    1   1        11111111 1111                             
 1195     03      C    1   1        11111111 1111                             
 1197     04      0    1   1        11111111 1111                             
 1199     05      8    1   1        11111111 1111                             
 1201     03      C    1   1        11111111 1111                             
 1203     04      0    1   1        11111111 1111                             
 1205     05      8    1   1        11111111 1111                             
 1207     03      0    1   1        11111111 1111                             
 1209     04      0    1   1        11111111 1111                             
 1211     05      0    1   1        11111111 1111                             
 1213     06      0    1   1        11111111 1111                             
 1215     07      0    1   1        11111111 1111                             
 1217     08      0    1   1        11111111 1111                             
 1219     09      4    1   1        11111111 1111                             
 1221     0A      4    1   1        11111111 1111                             
 1223     0B      4    1   1        11111111 1111                             
 1225     0C      5    1   1        11111111 1111                             
 1227     03      D    1   1        11111111 1111                             
 1229     03      F    1   1        11111111 1111                             
 1231     04      F    1   1        11111111 1111                             
 1233     05      F    1   1        11111111 1111                             
 1235     06      F    1   1        11111111 1111                             
 1237     07      F    1   1        11111111 1111                             
 1239     08      F    1   1        11111111 1111                             
 1241     09      3    1   1        11111111 1111                             
 1243     0A      0    1   1        11111111 1111                             
 1245     0B      4    1   1        11111111 1111                             
 1247     0C      1    1   1        11111111 1111                             
 1249     03      E    1   1        11111111 1111                             
 1251     04      0    1   1        11111111 1111                             
 1253     05      8    1   1        11111111 1111                             
 1255     03      0    1   1        11111111 1111                             
 1257     04      0    1   1        11111111 1111                             
 1259     05      0    1   1        11111111 1111                             
 1261     06      0    1   1        11111111 1111                             
 1263     07      0    1   1        11111111 1111                             
 1265     08      0    1   1        11111111 1111                             
 1267     09      0    1   1        11111111 1111                             
 1269     0A      0    1   1        11111111 1111                             
 1271     0B      0    1   1        11111111 1111                             
 1273     0C      0    1   1        11111111 1111                             
 1275     03      F    1   1        11111111 1111                             
 1277     03      F    1   1        11111111 1111                             
 1279     04      F    1   1        11111111 1111                             
 1281     05      F    1   1        11111111 1111                             
 1283     06      F    1   1        11111111 1111                             
 1285     07      F    1   1        11111111 1111                             
 1287     08      F    1   1        11111111 1111                             
 1289     09      F    1   1        11111111 1111                             
 1291     0A      F    1   1        11111111 1111                             
 1293     0B      F    1   1        11111111 1111                             
 1295     0C      F    1   1        11111111 1111                             
